symbol,matched,live_entry,bt_entry,entry_gap_min,live_entry_px,bt_entry_px,entry_px_diff_bps,live_exit_px,bt_exit_px,exit_px_diff_bps,live_hold_h,bt_hold_h,live_pnl_pct,bt_pnl_pct
AAPL,False,2026-05-01 14:46:10.033943+00:00,,,,,,,,,,,,
AAPL,False,2026-05-01 14:46:10.033943+00:00,,,,,,,,,,,,
AAPL,False,2026-05-01 14:46:10.689566+00:00,,,,,,,,,,,,
AAPL,False,2026-05-01 14:46:10.689566+00:00,,,,,,,,,,,,
AAPL,False,2026-05-01 14:46:11.283417+00:00,,,,,,,,,,,,
AAPL,False,2026-05-01 14:46:11.663970+00:00,,,,,,,,,,,,
AAPL,False,2026-05-01 14:46:11.663970+00:00,,,,,,,,,,,,
ABBV,True,2026-06-22 13:58:41.310487+00:00,2026-06-22 13:40:00+00:00,-18.688508116666664,226.47,225.0029852769372,-64.7774417389848,253.69,227.6292420595071,-1027.2678442387516,168.69669916527778,10.25,0.1201925199805713,0.0116720975027843
ABBV,False,2026-06-22 13:58:41.816891+00:00,,,,,,,,,,,,
ABBV,False,2026-06-22 13:58:42.386555+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:01.994993+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:01.994993+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:01.994993+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:01.994993+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:03.432461+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:04.500211+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:05.373098+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:06.217382+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:07.746340+00:00,,,,,,,,,,,,
ACHR,False,2026-04-10 13:48:08.533335+00:00,,,,,,,,,,,,
AMAT,True,2026-06-08 13:55:58.057175+00:00,2026-06-08 13:40:00+00:00,-15.967619583333335,483.05,478.8226043252717,-87.51466048500805,539.0,503.6407416153635,-656.0159255034605,75.68521518527777,25.083333333333332,0.1158265189938929,0.0518315907935551
AMAT,False,2026-06-08 13:56:01.741034+00:00,,,,,,,,,,,,
AMAT,False,2026-06-08 13:56:02.535133+00:00,,,,,,,,,,,,
AMAT,False,2026-06-08 13:56:03.004653+00:00,,,,,,,,,,,,
AMAT,False,2026-06-08 13:56:05.783579+00:00,,,,,,,,,,,,
AMAT,False,2026-06-08 13:56:06.265585+00:00,,,,,,,,,,,,
AMAT,False,2026-06-08 14:00:13.531130+00:00,,,,,,,,,,,,
AMAT,False,2026-06-08 14:00:13.969127+00:00,,,,,,,,,,,,
AMAT,True,2026-06-29 14:01:02.999192+00:00,2026-06-29 13:50:00+00:00,-11.049986533333334,658.5,662.0299290355771,53.605604184921546,737.18,694.846750378982,-574.2593345047057,25.10703752083333,8.083333333333334,0.1194836750189824,0.0495699966181459
AMAT,False,2026-06-29 14:01:03.329050+00:00,,,,,,,,,,,,
AMAT,False,2026-06-29 14:01:03.329050+00:00,,,,,,,,,,,,
AMAT,False,2026-06-29 14:01:03.329050+00:00,,,,,,,,,,,,
AMAT,False,2026-06-29 14:01:04.652079+00:00,,,,,,,,,,,,
AMAT,False,2026-06-29 14:01:05.434886+00:00,,,,,,,,,,,,
AMAT,False,2026-06-30 20:20:55.018905+00:00,,,,,,,,,,,,
AMD,True,2026-03-23 13:46:27.281373+00:00,2026-03-23 13:50:00+00:00,3.54531045,206.67,208.04375587420697,66.47098631668737,203.8,202.71404792842003,-53.28518506280577,6.019878450555555,8.083333333333334,-0.0138868727923742,-0.0256182067247887
AMD,False,2026-03-23 13:46:27.281373+00:00,,,,,,,,,,,,
AMD,False,2026-03-23 13:46:27.281373+00:00,,,,,,,,,,,,
AMD,False,2026-03-30 14:06:12.778094+00:00,,,,,,,,,,,,
AMD,False,2026-03-30 14:06:12.778094+00:00,,,,,,,,,,,,
AMD,False,2026-03-30 14:06:12.778094+00:00,,,,,,,,,,,,
AMD,False,2026-04-09 13:57:17.193142+00:00,,,,,,,,,,,,
