symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_pct,hold_hours,same_day_round_trip,entry_extended_hours,exit_extended_hours,source
SOXL,2026-03-09 13:47:25.361008+00:00,2026-03-09 19:24:53.011098+00:00,45.33,52.04,69.0,462.99000000000007,0.14802559011692037,5.624347247222222,True,False,False,live
SOXL,2026-03-09 13:47:26.228662+00:00,2026-03-09 19:24:53.011098+00:00,45.32,52.04,188.0,1263.3599999999997,0.14827890556045895,5.624106232222222,True,False,False,live
SOXL,2026-03-09 13:47:26.228662+00:00,2026-03-09 19:24:53.435043+00:00,45.32,52.05,2.0,13.459999999999994,0.14849955869373338,5.624223994722223,True,False,False,live
SOXL,2026-03-09 13:47:26.228662+00:00,2026-03-09 19:24:54.118816+00:00,45.32,52.08,1.0,6.759999999999998,0.14916151809355688,5.624413931666667,True,False,False,live
SOXL,2026-03-09 13:47:26.228662+00:00,2026-03-09 19:24:54.755950+00:00,45.32,52.09,1.0,6.770000000000003,0.14938217122683148,5.624590913333334,True,False,False,live
IONQ,2026-03-10 18:41:23.438623+00:00,2026-03-11 15:29:40.426275+00:00,35.81,33.97,54.0,-99.36000000000018,-0.05138229544819892,20.80471879222222,False,True,False,live
IONQ,2026-03-10 18:41:23.438623+00:00,2026-03-11 15:29:41.223733+00:00,35.81,33.96,94.0,-173.90000000000015,-0.0516615470538956,20.804940308333332,False,True,False,live
IONQ,2026-03-10 18:41:23.438623+00:00,2026-03-11 15:29:41.800349+00:00,35.81,33.95,196.0,-364.5599999999999,-0.05194079865959227,20.805100479444445,False,True,False,live
WOLF,2026-03-11 17:55:29.448577+00:00,2026-03-13 13:30:41.687689+00:00,17.99,17.1,225.0,-200.24999999999932,-0.049471928849360594,43.58673308666667,False,True,False,live
WOLF,2026-03-11 17:55:29.448577+00:00,2026-03-13 13:32:07.642597+00:00,17.99,17.44,940.0,-516.9999999999973,-0.030572540300166606,43.61060945,False,True,False,live
WOLF,2026-03-11 17:55:29.623560+00:00,2026-03-13 13:32:07.642597+00:00,17.99,17.44,192.0,-105.59999999999945,-0.030572540300166606,43.61056084361111,False,True,False,live
WOLF,2026-03-11 17:55:34.278354+00:00,2026-03-13 13:33:12.519565+00:00,18.0,17.44,9.0,-5.0399999999999885,-0.03111111111111104,43.62728922527777,False,True,False,live
WOLF,2026-03-11 17:55:34.124598+00:00,2026-03-13 13:33:12.519565+00:00,18.0,17.44,126.0,-70.55999999999983,-0.03111111111111104,43.62733193527778,False,True,False,live
WOLF,2026-03-11 17:55:33.795972+00:00,2026-03-13 13:33:12.519565+00:00,18.0,17.44,104.0,-58.23999999999987,-0.03111111111111104,43.62742322027778,False,True,False,live
